id,Relaxation,safety,Familiarity,Crowding,Stayability,Stress Perception
787,2,2,2,4,2,4
788,3,3,3,3,4,2.8
789,2,2,2,3,3,3.6
790,2,2,2,3,3,3.6
791,3,2,2,4,4,3.4
792,3,2,3,3,4,3
793,4,2,3,3,4,2.8
794,3,2,2,3,3,3.4
795,3,3,3,3,3,3
796,3,3,3,4,4,3
797,3,2,2,3,3,3.4
798,3,2,2,3,2,3.6
799,4,2,2,3,2,3.4
800,3,2,2,2,2,3.4
801,3,2,2,2,2,3.4
802,3,2,2,3,3,3.4
803,2,2,2,3,3,3.6
804,3,2,1,3,2,3.8
805,2,1,2,2,1,4
806,2,1,2,2,1,4
807,2,1,2,2,2,3.8
808,3,1,2,2,2,3.6
809,3,1,1,2,2,3.8
810,2,1,1,3,2,4.2
811,3,3,2,4,3,3.4
812,3,2,2,4,3,3.6
813,3,2,2,3,4,3.2
814,3,2,2,3,3,3.4
815,3,2,2,4,3,3.6
816,4,2,3,3,4,2.8
817,3,3,3,4,3,3.2
818,4,2,2,3,3,3.2
819,2,2,2,4,3,3.8
820,2,1,1,3,2,4.2
821,2,2,2,3,2,3.8
822,2,1,2,2,2,3.8
823,2,2,2,3,2,3.8
824,2,1,2,2,2,3.8
825,5,1,2,2,2,3.2
826,3,1,2,2,2,3.6
827,2,1,3,3,2,3.8
828,2,1,1,2,2,4
829,2,2,2,2,3,3.4
830,3,1,2,2,2,3.6
831,3,1,2,2,2,3.6
832,3,1,1,2,2,3.8
833,3,1,2,2,2,3.6
834,3,1,2,2,2,3.6
835,2,1,2,2,1,4
836,4,1,2,3,2,3.6
837,4,1,2,3,3,3.4
838,4,1,2,3,2,3.6
839,3,1,2,2,2,3.6
840,3,1,2,2,4,3.2
841,4,1,2,2,3,3.2
842,3,2,2,3,2,3.6
843,3,2,2,2,3,3.2
844,4,1,2,2,4,3
845,2,1,2,2,1,4
846,4,1,2,2,3,3.2
847,4,1,2,2,4,3
848,4,1,2,2,3,3.2
849,4,1,2,2,2,3.4
850,3,1,2,2,2,3.6
851,2,1,2,2,1,4
852,3,1,2,2,2,3.6
853,3,1,2,2,2,3.6
854,3,1,2,2,2,3.6
855,3,1,2,2,2,3.6
856,4,1,2,2,2,3.4
857,4,1,2,2,3,3.2
858,3,1,2,2,2,3.6
859,4,1,2,2,2,3.4
860,4,1,2,2,3,3.2
861,4,1,2,2,3,3.2
862,3,1,2,2,2,3.6
863,3,1,2,2,2,3.6
864,3,1,2,3,2,3.8
865,2,1,1,2,1,4.2
866,2,1,1,2,1,4.2
867,2,1,1,2,1,4.2
868,2,1,2,2,1,4
869,3,1,2,2,2,3.6
870,4,1,2,3,3,3.4
871,2,1,2,2,2,3.8
872,2,1,2,2,1,4
873,4,1,3,3,4,3
874,4,1,2,3,3,3.4
875,5,1,3,3,5,2.6
876,3,1,2,2,2,3.6
877,2,1,1,3,1,4.4
878,3,1,1,3,2,4
879,3,1,1,3,2,4
880,3,1,2,2,2,3.6
881,3,1,2,2,2,3.6
882,3,1,2,3,2,3.8
883,3,1,2,2,2,3.6
884,3,1,2,2,2,3.6
885,3,2,2,2,2,3.4
886,2,1,2,2,2,3.8
887,3,1,2,2,2,3.6
888,4,1,2,3,3,3.4
889,4,1,2,2,2,3.4
890,3,1,2,3,2,3.8
891,4,1,2,3,3,3.4
892,3,1,2,3,2,3.8
893,3,1,2,3,3,3.6
894,3,1,2,3,2,3.8
895,3,1,2,3,2,3.8
896,3,1,2,3,3,3.6
897,4,1,2,3,3,3.4
898,3,1,2,3,3,3.6
899,3,2,2,3,3,3.4
900,2,2,3,3,3,3.4
901,2,3,3,3,3,3.2
902,3,3,3,3,3,3
903,2,2,2,3,2,3.8
904,4,2,2,3,3,3.2
905,4,1,2,3,4,3.2
906,5,1,1,3,4,3.2
907,3,2,2,4,3,3.6
908,2,2,1,4,2,4.2
909,3,1,2,2,2,3.6
910,2,1,1,2,1,4.2
911,2,1,1,2,1,4.2
912,2,1,1,2,1,4.2
913,2,1,2,4,1,4.4
914,4,1,2,3,4,3.2
915,4,2,2,3,4,3
916,2,1,2,2,2,3.8
917,3,1,2,2,2,3.6
918,3,1,2,2,2,3.6
919,4,1,2,3,2,3.6
920,5,1,2,3,4,3
921,5,1,2,4,4,3.2
922,4,1,2,3,3,3.4
923,2,1,1,3,2,4.2
924,3,3,3,4,4,3
925,1,1,1,3,1,4.6
926,4,1,2,3,3,3.4
927,3,1,2,2,2,3.6
928,4,1,2,2,2,3.4
929,3,1,2,2,2,3.6
930,3,1,2,2,2,3.6
931,3,1,2,2,2,3.6
